                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                  1.452,                 1.0115,                 1.3355,                0.61561,                0.41096,                0.49337,                 0.1962,                 2.2866,                 1.6224,                 1.8298,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.4764,                0.94619,                 1.3531,                0.71379,                0.54664,                0.59252,                0.24824,                  2.227,                 1.5297,                 1.8212,              0.0015644,              0.0015644,              0.0015644
                     47,                  1.495,                0.99305,                 1.3526,                0.75678,                0.50685,                0.56765,                0.22029,                 2.3225,                 1.4816,                 1.8816,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.5467,                0.97491,                  1.438,                0.69419,                0.52868,                0.54567,                0.20227,                 2.3128,                 1.6036,                  1.875,              0.0015446,              0.0015446,              0.0015446
                     49,                  1.468,                0.93267,                 1.3906,                0.70306,                0.52055,                0.52956,                0.21856,                 2.2722,                 1.6448,                 1.8567,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.4885,                0.95279,                 1.3556,                0.58591,                0.65901,                 0.5978,                0.23052,                 2.2402,                 1.5336,                  1.819,              0.0015248,              0.0015248,              0.0015248
                     51,                  1.443,                0.96199,                 1.4009,                0.68362,                0.60274,                0.61219,                0.23704,                 2.2321,                 1.4205,                 1.8603,              0.0015149,              0.0015149,              0.0015149
                     52,                 1.4303,                0.91762,                 1.3275,                0.57121,                0.45626,                0.44746,                0.19522,                 2.3206,                 1.8248,                 1.9726,               0.001505,               0.001505,               0.001505
                     53,                  1.456,                0.89247,                 1.3726,                0.50534,                 0.5318,                 0.4683,                0.18242,                 2.3266,                 1.6806,                 1.9704,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.3782,                0.87542,                  1.301,                0.74669,                0.47945,                0.50533,                 0.1934,                 2.2686,                 1.6922,                 1.9706,              0.0014852,              0.0014852,              0.0014852
                     55,                  1.447,                0.89612,                 1.4063,                0.75824,                0.49315,                0.56768,                0.21656,                 2.2589,                 1.6693,                  1.966,              0.0014753,              0.0014753,              0.0014753
                     56,                 1.4914,                0.91975,                  1.426,                 0.7987,                0.56164,                0.61169,                0.24319,                 2.1723,                 1.4445,                 1.8971,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.4094,                0.85439,                 1.3346,                 0.6668,                0.61644,                0.63204,                0.26374,                 2.1269,                 1.3861,                 1.8567,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.3468,                0.83426,                 1.2773,                0.71644,                0.63014,                0.69647,                0.26828,                 2.2198,                 1.2609,                  1.885,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.3783,                0.84755,                 1.3472,                0.79087,                 0.6217,                0.70498,                0.27372,                  2.178,                 1.3078,                 1.8175,              0.0014357,              0.0014357,              0.0014357
                     60,                  1.329,                  0.836,                 1.2922,                0.83475,                0.60274,                0.74201,                0.28355,                 2.1861,                 1.3831,                 1.8358,              0.0014258,              0.0014258,              0.0014258
                     61,                 1.4318,                0.90794,                 1.3341,                0.77461,                0.61207,                0.67653,                0.26515,                 2.2453,                  1.328,                 1.8767,              0.0014159,              0.0014159,              0.0014159
                     62,                 1.3828,                 0.8332,                 1.2975,                0.66983,                0.55589,                0.65159,                0.28097,                 2.1852,                 1.4177,                   1.82,               0.001406,               0.001406,               0.001406
                     63,                 1.2958,                0.76021,                 1.2843,                0.78874,                0.49315,                0.63105,                0.25086,                 2.2283,                 1.4046,                  1.888,              0.0013961,              0.0013961,              0.0013961
                     64,                 1.3403,                0.82785,                  1.302,                0.77058,                0.52055,                0.64814,                 0.2575,                 2.1643,                 1.3387,                  1.877,              0.0013862,              0.0013862,              0.0013862
                     65,                 1.2832,                0.82769,                 1.2396,                0.69034,                0.64134,                0.69008,                0.27597,                 2.1592,                 1.2313,                 1.8615,              0.0013763,              0.0013763,              0.0013763
                     66,                 1.3793,                0.86316,                 1.3144,                0.64472,                0.65753,                0.68922,                0.27326,                 2.2345,                 1.1843,                  1.878,              0.0013664,              0.0013664,              0.0013664
